Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Keyword Tagging,"Abstract: Some patients converted from ventricular fibrillation to organized rhythms by defibrillation - trained ambulance technicians(EMT - Ds) will refibrillate before hospital arrival.The authors analyzed 271 cases of ventricular fibrillation managed by EMT - Ds working without paramedic back - up.Of 111 patients initially converted to organized rhythms, 19(17 % ) refibrillated, 11(58 % ) of whom were reconverted to perfusing rhythms, including nine of 11(82 % ) who had spontaneous pulses prior to refibrillation.Among patients initially converted to organized rhythms, hospital admission rates were lower for patients who refibrillated than for patients who did not(53 % versus 76 % , P = NS), although discharge rates were virtually identical(37 % and 35 % , respectively).Scene - to - hospital transport times were not predictively associated with either the frequency of refibrillation or patient outcome.Defibrillation - trained EMTs can effectively manage refibrillation with additional shocks and are not at a significant disadvantage when paramedic back - up is not available.",Ventricular Fibrillation,This term is directly present in the abstract and it is one of the main topic in it. So can be chosen as the medical subject heading.,"Abstract: Our results suggest that ethylene oxide retention after sterilization is increased in cuprammonium cellulose plate dialyzers containing potting compound. In contrast, cuprammonium cellulose plate dialyzers without potting compound were characterized by a rapid disappearance of retained ethylene oxide after sterilization. Whether these findings explain the low incidence of SARD with cuprammonium cellulose plate dialyzers that do not contain potting material is a matter for continued study and experimentation.",Plasma Volume,This term is not directly present in the abstract and it is no way related to the abstract. So can not be chosen as the medical subject heading. 'Cellulose' can be become a mesh term
Word Semantics,"New York (is) on the east coast. 
 Verb: is",Yes,This is a good example. New York always is on the east coast.,"He (is) a brave man. 
 Verb: is",No,"Being brave is static, so the answer is incorrect."
Question Answering,"Television drama's whole point is to bring you through an often slow start, followed by a complex development to a point where there are two or three potential dénouements before, ""Cut!"", it is the end of the episode and you will have to await the ""right answer"" in the following week's show.
This post came to me at 10pm last night, on Day 16 of this challenge, after a day of holidaying in London and with my head (and feet) too weary to put finger to touchscreen.
Mrs Mc and I had just watched another live instalment of Broadchurch, murder mystery extraordinaire, particularly since in the second series there is no actual fresh murder to investigate. The verdict is about to be given on the accused killer from Series 1 when the inevitable happens... Cue title music.
This moment has even gained a moniker in British homes, based on the theme tune to the real masters of the four-times-a-week cliffhanger, London-based soap opera Eastenders. It's call a ""ba...ba...ba...ba, ba, ba-ba-ba-ba"" (YouTube will provide overseas readers with auditory explanation).
Eastenders is such a master of writing in the perfect pace that every 28 minute episode ends with a tantalising screen freeze on the latest shocked face / smirking baddy / confused victim. For really big stories the cliffhanger can last significantly longer. This week, to celebrate the show's 30 year birthday, we will finally find out the answer to a question unanswered for the past 14 months: ""Who killed Lucy Beale?""
Now, most classrooms do not involve murder, incest, dodgy deals and danger, but ""good teaching"" encourages a type of pacing that totally ignores the ingredients that have millions in the edges of their seats every day: the good old cliffhanger. In fact, we see teachers giving away the punchline at the beginning: ""Today we are learning this:..."". Question: What was the soap opera admired by British people that the author says is a master of writing?",Eastenders,"The seventh sentence of the passage clearly states that Eastenders is master of writing. So, the answer is Eastenders.","Regular readers of Beauty Best Friend will know that wherever possible I use organic bodycare products, and that I simply adore the organic brand Botanicals. A British brand whose aim is to create products ‘which are as close to nature as possible', their bodycare and skincare is simply second to none and they're certified by The Soil Association. Over the past couple of years I've tried several of their products including my favourite Cleansing Melt and I haven't found anything that I don't like yet!
This month I've been trying their Deep Peace Aromatic Body Oil which arrived with me just at the right time – my husband had man flu, I had a cold and I was looking after our 16 month old toddler alone. Deep Peace was just what my body was craving!

I was sent a small glass bottle of the oil to try, but the full size product is a larger 100ml pump bottle (it also comes in 200ml and 1 litre bottles too). The directions say you can use it in two ways, either massage it into shoulders, neck and arms before bed, or apply it all over the body after batheing. After a bath or shower is the best time I feel as the skin is damp and warm and the Deep Peace oil helps lock moisture into the skin and the warmth helps the scent to lift.
This Aromatic Massage Oil is 99% organic and the ingredients include Lavender, Rose Geranium and Orange Peel oils. The fragrance is very subtle and perfect if you don't like products that smell overpowering. It's a bit ‘planty', I think it's the scent of the Rose Geranium that comes through the most, and personally I don't absolutely love the fragrance, but it's pleasant enough and it does help the head to feel calmed (even when nursing a husband with man flu!). Question: Which fragrance is very subtle?",Cleansing Melt,This is a bad answer because the last but one sentence clearly states that Aromatic Massage Oil's fragrance is very subtle and perfect.
Text Categorization,"News Headline: France is ‘ hunting down its citizens who joined {Isis} without trial in Iraq 
 Edit: twins ",Not Funny,"The edited sentence is not making much sense, therefore it's not funny.","News Headline: Us Weekly gives Ivanka Trump {credit} for failing 
 Edit: candies",True,"Output must be ""Funny"" or ""Not Funny"""
Answer Verification,"Question: Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?
Answer: As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis.",yes,"The answer clearly says that ICLSs are elevated, which is exactly what the question asks. Hence, the output will be yes and it is correct.","Question: Is methylation of the FGFR2 gene associated with high birth weight centile in humans?
 Answer: We identified a novel biologically plausible candidate (FGFR2) for with BWC that merits further study.",no,"It is mentioned in the answer that a novel biologically plausible candidate (FGFR2) for birth weight centile (BWC) as identified that merits further study. This answer satisfies the question. The output should be 'yes' and hence, this is a bad example."
Sentence Ordering,Title: Marcus Buys Khakis. Sentence 1: All of his clothes were either too formal or too casual. Sentence 2: Marcus needed clothing for a business casual event. Sentence 3: The pair he bought fit him perfectly. Sentence 4: Marcus was happy to have the right clothes for the event. Sentence 5: He decided to buy a pair of khakis.,21534,"Marcus's reasons for buying khakis is established, followed by his purchase of them and reaction.","Title: Up Close. Sentence 1: My grandparents and I were going for a walk. Sentence 2: We were walking near some pine trees and turned a corner. Sentence 3: Suddenly, right in front of us, was a huge moose. Sentence 4: It was so close that it scared us, but they told me not to run. Sentence 5: We all stood still and soon the moose walked away without harm.",54321,"The people saw a moose, stopped walking and allowed it to pass. The correct order is therefore 12345."
Irony Detection,crushes are great until you realize they'll never be interested in you.| :p,situational,Instance describes a situations that fail to meet expectations.,Sexist article in the Daily Fail about men wasting money on cycling - accompanied by recommendation for a handbag costing £999.,polarity,"This instance doesn't contain any polarity contrast between the literal and the intended evaluation. Instead its describing a situation that fails to meet the expectations so it should be labeled as ""situational"""
Program Execution,"[[6, 3, 8], [7, -5]]","[13, -2, 8]","We start by summing up the first elements of all the lists: 6 + 7 = 13, so the first element of the output is 13. For the second element of the output, we sum up the second elements of all the lists: 3 + (-5) = -2. One of the lists doesn't have a third element, so the third element of the answer is: 8 + 0 = 8.","[[5, 1, 7, 7], [6, 8], [7, -2, 1, 8, 10]]","[[20], [14], [24]","Here, the sum of each individual list is returned. This is not the correct way to do the task."
Data to Text,"[['Northwestern College', 'NICKNAME', 'Red Raiders'], ['Northwestern College', 'LOCATION', 'Orange City, Iowa']]",The team whose nickname is red raiders is located in the _______,"This sentence uses the triplets by correctly using the (subject, predicate, object) semantics for both the triplets provided, and is a good question since red raiders can be associated by a human to Northwestern college which is located in Iowa.","[['Graham Edwards', 'PROVINCE', 'North Metropolitan']]",Edwards _____ the North Metropolitan Province.,"This sentence is a bad example since it does not utilize the RDF triplet in the question making it open to interpretation. For example, this blank can be filled in several ways like: represented, belongs to etc. making it a poorly generated question."
Misc.,Afghanistan,Kabuli Palaw,Kabuli Palaw is the national dish name of the Afghanistan.,Argentina,Keshi yena,"Keshi yena is not the national dish name of the Argentina. However, Asado is the national dish name of the Argentina."
Wrong Candidate Generation,"Sentence: Jack played basketball after school, after which he was very tired. 
Question: What did Jack do after the game?",He played football.,"When people ""get very tired"", they usually ""rest"". So, it is unlikely that ""he played football"".","Sentence: Jack played basketball after school, after which he was very tired. 
Question: What did Jack do after the game?",He rested.,"When people ""get very tired"", they usually ""rest"". 'He rested' is a bad answer because it is the correct answer. Note that, the task is to write a wrong answer."
Speaker Identification,"ASSISTANT: generally speaking what type of movies do you watch , USER: I like thrillers a lot. , ASSISTANT: thrillers? for example? , USER: Zodiac's one of my favorite movies. , USER: Zodiac the movie about a serial killer from the '60s or '70s, around there. , ASSISTANT: Zodiac? oh wow ok, what do you like about that movie, classify_text: And I just think serial killers, in general, are interesting, so the movie was really good. And it was just neat to see that world. Like it went really in-depth. It was like almost 3 hours long, so you got to really feel like you were a part of that world and time period. And see what the detectives and the police did and the investigators.",USER,"Based on last conversation in which the ASSISTANT ask's a question for which it waits for a reply from the ""USER"". We can classify this conversation as ""USER"" as it needs to respond for the given question.","ASSISTANT: What kind of movies are you drawn to? , USER: I am drawn to romances. , ASSISTANT: Have you seen Fifty Shade of Grey? , USER: I have not. , USER: I know of it very well, but I have not seen it. , ASSISTANT: What was a movie that you last watched that surprised you?, classify_text: Maybe White House Down was surprising for me.",ASSISTANT,"This is an example of bad output as the last coveration was based on a question asked by the ""ASSISTANT"" and the classify_text looks like a response to the given question.Thus the output should be ""USER"" instead of ASSISTANT"
Discourse Connective Identification,Sentence 1:A suicide car bomber detonated his bomb as he attempted to drive an SUV into a Somali military camp . Sentence 2:However the vehicle exploded at the entrance when police guards opened fire on the insurgent driving the vehicle .,however,The above sentence is connected by the word 'however'.,Sentence 1:They 're still around . Sentence 2:And back they come again .,nevertheless,The above sentence is not connected by the word 'nevertheless'.
Program Execution,"['q', '31', 'a', 'd', '53', '85', 'p', '77']","1, 3, 5, 7, 8","Here, the numbers in the list are '31', '53', '85' and '77', and the unique digits used in the list are '1, 3, 5, 7, 8' in ascending order.","['g', 'w', 'x', '3467', 'g']"," 7, 6, 3, 4","Here, the answer should have been '3, 4, 6, 7' as '3467' is the only number in the list, and its digits in ascending order are '3, 4, 6, 7' in ascending order."
Question Answering,"Problem: what is difference between biggest and smallest fraction among 2 / 3 , 3 / 4 , 4 / 5 and 5 / 3 
Options: a ) 2 / 5 , b ) 3 / 5 , c ) 1 / 6 , d ) 1 , e ) none of these",d,"""explanation : 2 / 3 = . 66 , 3 / 4 = . 75 , 4 / 5 = . 8 and 5 / 3 = 1.66 so the biggest is 5 / 3 and the smallest is 2 / 3 their difference is 5 / 3 - 2 / 3 = 3 / 3 = 1 option d""","Problem: how many prime numbers are between 76 / 8 and 124 / 5 ? 
Options: a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",a,"""76 / 8 = 38 / 4 = 19 / 2 = 10 - 124 / 5 = 25 - prime numbers between 10 and 29 are 11 , 13 , 17 , 19 , and 23 - sign signifies that the number is marginally less . answer e"". Hence, option a is incorrect."
Sentence Perturbation,sentence: Jim signaled the barman and gestured toward his empty glass . aspect: Number,Jim and Bill signaled the barmen and gestured toward  their empty glasses .,You have to add people names and change the pronouns if you want to change the number aspect of the sentence.,"sentence: George got free tickets to the play , but he gave them to Eric , because he was not particularly eager to see it . aspect: Voice","George is getting free tickets to the play , but he will give them to Eric , because he is not particularly eager to see it .","This example needs to be changed in the voice aspect. As it has an active verb, it should be changed in a way that it has a passive verb. The given output has changed the tense of the sentence, not the voice."
Question Rewriting,"original question: Who is the museum director of [Science Museum, London]?
answer: Ian Blatchford
answer type: Museum director. 
auxiliary information: The Science Museum is a major museum on Exhibition Road in South Kensington, London. It was founded in 1857 and today is one of the city's major tourist attractions, attracting 3.3 million visitors annually. Like other publicly funded national museums in the United Kingdom, the Science Museum does not charge visitors for admission. Temporary exhibitions, however, may incur an admission fee. It is part of the Science Museum Group, having merged with the Museum of Science and Industry in Manchester in 2012.","The museum director of the [Science Museum, London] is?",The question is correctly paraphrased in this example.,"original question: Which opera is in [Sanskrit Language]?
answer: Satyagraha
answer type: Opera.
auxiliary information: Sanskrit is the primary liturgical language of Hinduism, a philosophical language in Buddhism, Hinduism and Jainism, and a literary language that was in use as a lingua franca in the Indian cultural zone. It is a standardised dialect of the Old Indo-Aryan language, originating as Vedic Sanskrit and tracing its linguistic ancestry back to Proto-Indo-Iranian and Proto-Indo-European. Today it is listed as one of the 22 scheduled languages of India and is an official language of the state of Uttarakhand. Sanskrit holds a prominent position in Indo-European studies. The corpus of Sanskrit literature encompasses a rich tradition of poetry and drama as well as scientific, technical, philosophical and religious texts. Sanskrit continues to be widely used as a ceremonial language in Hindu religious rituals and Buddhist practice in the form of hymns and chants. Spoken Sanskrit has been revived in some villages with traditional institutions, and there are attempts to enhance its popularisation.",What is the opera performed in [Sanskrit]?,"This is a good paraphrase, but the words in the bracket are changed, so the answer is invalid."
Question Generation,"Passage: A frameshift mutation is a deletion or insertion of one or more nucleotides that changes the reading frame of the base sequence. Deletions remove nucleotides, and insertions add nucleotides. Consider the following sequence of bases in RNA:. Answer: nucleotides.",A frameshift mutation is a deletion or insertion of one or more of what that changes the reading frame of the base sequence?,The science passage defines frame mutation and the main compoment here is nucleotides. Hence the generated question is apt.,"Science Passage': '6.3 |  By the end of this section, you will be able to: • Discuss the concept of entropy • Explain the first and second laws of thermodynamics Thermodynamics refers to the study of energy and energy transfer involving physical matter. The matter and its environment relevant to a particular case of energy transfer are classified as a system, and everything outside of that system is called the surroundings. For instance, when heating a pot of water on the stove, the system includes the stove, the pot, and the water. Energy is transferred within the system (between the stove, pot, and water). There are two types of systems: open and closed. An open system is one in which energy can be transferred between the system and its surroundings. The stovetop system is open because heat can be lost into the air. A closed system is one that cannot transfer energy to its surroundings. Biological organisms are open systems. Energy is exchanged between them and their surroundings, as they consume energystoring molecules and release energy to the environment by doing work. Like all things in the physical world, energy is subject to the laws of physics. The laws of thermodynamics govern the transfer of energy in and among all systems in the universe. Answer: thermodynamics",What is called an open system ?,"Although the question is valid and answer is present in the passage, it does not relate to the answer: thermodynamics."
Information Extraction,The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information on the website.,Advertising,The given policy text states that it uses user information for 'advertising' explicitly,An unnamed third party does not receive unspecified information about you for an unspecified purpose. The data is personally identifiable. You can opt in for data collection for the collection or sharing of your information.,Location,The given policy text does not state that the user information is used for location. It is stated that the information is used for 'unspecified purpose'
Question Understanding,"Sentence: Jack played basketball after school, after which he was very tired. 
Question: How long did Jack play basketball?",Yes.,The question asks about the duration of an event; therefore it's a temporal question.,"Sentence: Jack played basketball after school, after which he was very tired. 
Question: Who played basketball after school?",Yes.,This is not a valid temporal reasoning question as answering it does not require any understanding of time.
Toxic Language Detection,Post: Stop tweeting about your boyfriend. No one gives a shit. And you're gonna break up in a month anyway #WomenSuck,Individual,"The target being harassed in the post is the person he or she is replying to. Thus, the post should be classified as individual.",Post: What do you call a woman who has lost 95% of her intelligence? Divorced,Individual,This post should be classified as generic because it is hateful towards all divorced women instead of a particular one.
Program Execution,Sentence: 'a hot dog in a bun with ketchup on a plate with french fries'. How many words start with the letter 'a' in the sentence.,3,"The word 'a' is the only word that starts with 'a'. This sentence has 3 occurrences of the word 'a'. So, the answer is 3.",Sentence: 'two children are playing with kites on the grass'. How many words start with the letter 't' in the sentence.,3,"The words 'two', and 'the' start with 't'. So, the answer should have been 2 and not 3."
Text Completion,"Drapeau’s cohorts, the cohort would be a “victim” of making the bomb. Further, firebombs are inherently dangerous. There is no peaceful purpose for making a bomb. Felony offenses that involve explosives qualify as “violent crimes” for purposes of enhancing the sentences of career offenders. See 18 U.S.C. § 924(e)(2)(B)(ii) (defining a “violent felony” as: “any crime punishable by imprisonment for a term exceeding one year ... that ... involves use of explosives”). Courts have found possession of a'bomb to be a crime of violence based on the lack of a nonviolent purpose for a bomb and the fact that, by its very nature, there is a substantial risk that the bomb would be used against the person or property of another. See United States v. Newman, 125 F.3d 863 (10th Cir.1997) (unpublished) (<HOLDING>); United States v. Dodge, 846 F.Supp. 181,, Holding statements: (A) holding that possession of a pipe bomb is a crime of violence for purposes of 18 usc  3142f1 (B) holding that bank robbery by force and violence or intimidation under 18 usc  2113a is a crime of violence (C) holding that sexual assault of a child qualified as crime of violence under 18 usc  16 (D) holding for the purposes of 18 usc  924e that being a felon in possession of a firearm is not a violent felony as defined in 18 usc  924e2b (E) holding that a court must only look to the statutory definition not the underlying circumstances of the crime to determine whether a given offense is by its nature a crime of violence for purposes of 18 usc  16",(A),"It's a good example. Based on the given prompt, option (A) is correct.","property tax sale. In reviewing section 6323(b)(6), this Court noted that it provides that a county’s tax lien has priority over a federal lien, and thus, Taylor purchased the property still subject to the county’s lien. Taylor v. Mill, 310 S.C. 526, 528, 426 S.E.2d 311, 312 (1992). Thus, this Court has already noted that section 6323 operates to establish priority, not extinguish ection in this manner will stifle tax sales, potential buyers must research tax sale property purchases and would be put on notice of any federal tax liens. Finally, Appellants argue that the master erred by not giving section 6323, a more specific statute, priority over section 7425, a general statute. See Capco of Summerville, Inc. v. J.H. Gayle Constr. Co., 368 S.C. 137, 142, 628 S.E.2d 38, 41 (2006) (<HOLDING>). While this is a correct statement of the law,, Holding statements: (A) holding that where there is a conflict between statutes the more recent statute is controlling and a specific provision prevails over a general provision relating to the same subject matter (B) holding that specific statutory provisions take priority over general statutory provisions (C) holding wills more specific provision prevails over general provision (D) recognizing that a specific statute controls over a general one (E) holding that a specific statutory provision prevails over a more general one",(B),"This prompt holds that a specific statutory provision prevails over a more general one. So, option (B) is incorrect."
Question Generation,"Sentence: The album is named after the discredited pseudoscience of phrenology , the study of head shapes to determine intelligence and character , which was used to rationalize racism during the 19th century in the United States .
 Verb: named",what is  named  after something?,"It contains the verb named which is given in the input. It is a question that starts with a ‘wh’ word. The answer to this question is the album and it can be found in the sentence. Also, it does not use any nouns from the sentence but uses something which is a pronoun to refer to one of the roles present.","Sentence: On September 21 , 1955 , Moore went up in weight to face future Hall of Famer Rocky Marciano for Marciano 's Heavyweight Championship . 
 Verb: went",Did something went up?,"Although the question can be answered from the sentence, The output does not start with one of ‘wh’ words. It starts with 'did’."
Sentiment Analysis,My Kids Love It . My 2 & 3 year old love this movie. They love to dance to the music.  Garfield is so entertaining. This was a great buy.,POS,"The overall sentiment of the review is positive as the reviewer refers to the dvd with positive expressions such as 'love it', 'entertaining', 'great' etc. Hence, the label is 'POS'.","Best seen with low expectations . A strong sense of place was one of the many strengths of Matthieu Kassovitz's under-rated crowd-pleaser 'The Crimson Rivers,' one of the best French thrillers in years, but, despite including dying steel towns, artificial lakes, monasteries and even the Maginot Line among its locations, it's one of the many things missing from its in-name-only sequel. Other notable absences include confident direction, decent plotting, concise characterisation and a real sense of conviction in its larger than life premise, not to mention almost anybody associated with the original.    With only Jean Reno returning and Luc Besson providing the very uninspired script, my expectations for this were extremely low but, in all fairness, it wasn't as bad as I expected. But then, it wasn't very good either - just relentlessly average, predictable and forgettable. None of the class or style of the first one, weak TV-show characterisation (right down to the terrible 'end on a joke' cop show cliché) and an old hat religious conspiracy plot that rehashes a few elements of the original (chasing super-strong hooded figures, Nazi conspiracies, etc) to little effect. The writing is pretty lazy and the ending straight out of Raiders of the Lost Ark without the supernatural effects, but if you pitch your expectations low it passes the time. But it's very easy to see why Kassovitz, Vincent Cassel and composer Bruno Coulais didn't come back for this one: I'm willing to bet that if anyone else but Bresson wrote it, Reno would have skipped it too.    A good package of extras are included, but you need to pitch your expectations low for the film itself",POS,"Although the sentiment of the review is negative (the reviewer refers to the dvd with negative expressions such as 'best seen with low expectaions' or 'you need to pitch your expectations low'), the label is 'POS'. The right label should be 'NEG'."
Program Execution,"[2,5,1,4],[2,5,8,4,2,0]","[2,4,5]","The elements 2,4, and 5 are in both lists. This is a good example.","[1,4,5],[0,0,4,3]","[0,1,3,4,5]","The union of the lists is returned, where each element is in at least one of the sets. The intersection must be in both sets. This is an incorrect output."
Question Answering,"Table: ['Pick', 'Player', 'Team', 'Position', 'School']. ['1', 'Ben McDonald', 'Baltimore Orioles', 'RHP', 'Louisiana State University']. ['2', 'Tyler Houston', 'Atlanta Braves', 'C', 'Valley HS (Las Vegas, NV)']. ['3', 'Roger Salkeld', 'Seattle Mariners', 'RHP', 'Saugus (CA) HS']. ['4', 'Jeff Jackson', 'Philadelphia Phillies', 'OF', 'Simeon HS (Chicago, IL)']. ['5', 'Donald Harris', 'Texas Rangers', 'OF', 'Texas Tech University']. ['6', 'Paul Coleman', 'Saint Louis Cardinals', 'OF', 'Frankston (TX) HS']. ['7', 'Frank Thomas', 'Chicago White Sox', '1B', 'Auburn University']. ['8', 'Earl Cunningham', 'Chicago Cubs', 'OF', 'Lancaster (SC) HS']. ['9', 'Kyle Abbott', 'California Angels', 'LHP', 'Long Beach State University']. ['10', 'Charles Johnson', 'Montreal Expos', 'C', 'Westwood HS (Fort Pierce, FL)']. ['11', 'Calvin Murray', 'Cleveland Indians', '3B', 'W.T. White High School (Dallas, TX)']. ['12', 'Jeff Juden', 'Houston Astros', 'RHP', 'Salem (MA) HS']. ['13', 'Brent Mayne', 'Kansas City Royals', 'C', 'Cal State Fullerton']. ['14', 'Steve Hosey', 'San Francisco Giants', 'OF', 'Fresno State University']. ['15', 'Kiki Jones', 'Los Angeles Dodgers', 'RHP', 'Hillsborough HS (Tampa, FL)']. ['16', 'Greg Blosser', 'Boston Red Sox', 'OF', 'Sarasota (FL) HS']. ['17', 'Cal Eldred', 'Milwaukee Brewers', 'RHP', 'University of Iowa']. ['18', 'Willie Greene', 'Pittsburgh Pirates', 'SS', 'Jones County HS (Gray, GA)']. ['19', 'Eddie Zosky', 'Toronto Blue Jays', 'SS', 'Fresno State University']. ['20', 'Scott Bryant', 'Cincinnati Reds', 'OF', 'University of Texas']. ['21', 'Greg Gohr', 'Detroit Tigers', 'RHP', 'Santa Clara University']. ['22', 'Tom Goodwin', 'Los Angeles Dodgers', 'OF', 'Fresno State University']. ['23', 'Mo Vaughn', 'Boston Red Sox', '1B', 'Seton Hall University']. ['24', 'Alan Zinter', 'New York Mets', 'C', 'University of Arizona']. ['25', 'Chuck Knoblauch', 'Minnesota Twins', '2B', 'Texas A&M University']. ['26', 'Scott Burrell', 'Seattle Mariners', 'RHP', 'Hamden (CT) HS']. Question: Who is from louisiana state university?",Ben McDonald,The answer correctly satisfies the given question and is based on the information based in the given table.,"Table:  ['Pick', 'Player', 'Team', 'Position', 'School']. ['1', 'Ben McDonald', 'Baltimore Orioles', 'RHP', 'Louisiana State University']. ['2', 'Tyler Houston', 'Atlanta Braves', 'C', 'Valley HS (Las Vegas, NV)']. ['3', 'Roger Salkeld', 'Seattle Mariners', 'RHP', 'Saugus (CA) HS']. ['4', 'Jeff Jackson', 'Philadelphia Phillies', 'OF', 'Simeon HS (Chicago, IL)']. ['5', 'Donald Harris', 'Texas Rangers', 'OF', 'Texas Tech University']. ['6', 'Paul Coleman', 'Saint Louis Cardinals', 'OF', 'Frankston (TX) HS']. ['7', 'Frank Thomas', 'Chicago White Sox', '1B', 'Auburn University']. ['8', 'Earl Cunningham', 'Chicago Cubs', 'OF', 'Lancaster (SC) HS']. ['9', 'Kyle Abbott', 'California Angels', 'LHP', 'Long Beach State University']. ['10', 'Charles Johnson', 'Montreal Expos', 'C', 'Westwood HS (Fort Pierce, FL)']. ['11', 'Calvin Murray', 'Cleveland Indians', '3B', 'W.T. White High School (Dallas, TX)']. ['12', 'Jeff Juden', 'Houston Astros', 'RHP', 'Salem (MA) HS']. ['13', 'Brent Mayne', 'Kansas City Royals', 'C', 'Cal State Fullerton']. ['14', 'Steve Hosey', 'San Francisco Giants', 'OF', 'Fresno State University']. ['15', 'Kiki Jones', 'Los Angeles Dodgers', 'RHP', 'Hillsborough HS (Tampa, FL)']. ['16', 'Greg Blosser', 'Boston Red Sox', 'OF', 'Sarasota (FL) HS']. ['17', 'Cal Eldred', 'Milwaukee Brewers', 'RHP', 'University of Iowa']. ['18', 'Willie Greene', 'Pittsburgh Pirates', 'SS', 'Jones County HS (Gray, GA)']. ['19', 'Eddie Zosky', 'Toronto Blue Jays', 'SS', 'Fresno State University']. ['20', 'Scott Bryant', 'Cincinnati Reds', 'OF', 'University of Texas']. ['21', 'Greg Gohr', 'Detroit Tigers', 'RHP', 'Santa Clara University']. ['22', 'Tom Goodwin', 'Los Angeles Dodgers', 'OF', 'Fresno State University']. ['23', 'Mo Vaughn', 'Boston Red Sox', '1B', 'Seton Hall University']. ['24', 'Alan Zinter', 'New York Mets', 'C', 'University of Arizona']. ['25', 'Chuck Knoblauch', 'Minnesota Twins', '2B', 'Texas A&M University']. ['26', 'Scott Burrell', 'Seattle Mariners', 'RHP', 'Hamden (CT) HS']. Question: Which players are in the top 26 picks?","['Ben McDonald', 'Cal Eldred', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']",This is an example of bad answer because the answer for the given question is incorrect according to the information given in the table.
Question Answering,"Article: Homework can put you in a bad mood , and that might actually be a good thing. Researchers from the University of Plymouth in England doubted whether mood might affect the way kids learn. To find out the answer, they did two experiments with children. The first experiment tested 30 kids. Someshapes were hidden inside a different, larger picture. The kids had to find the small shapes while sitting in a room with either cheerful or sad music playing in the background. To test their mood, the scientists asked the kids to point to one of five faces, from happy to sad. Children who listened to cheerful music tended to point to the smiley faces while the others pointed to the unhappy ones. The researchers found that sad kids took at least a second less to find the small shapes. They also found an average of three or four more shapes. In the second experiment, 61 children watched one of two scenes from a film. One scene was happy, and the other was sad. Just like in the first experiment, kids who saw the sad scene acted better compared to the others. The researchers guessed that feeling down makes people more likely to focus on a problem or difficult situation. Not all scientists agree with them, however. Other studies argued that maybe, that cheerful music in the first experiment distracted kids from finding shapes. While scientists work on finding out the answers, it still might be wise to choose when to do your tasks according to your mood. After eating a delicious ice cream, for example, write an essay. 
 Question: Researchers did experiments on kids in order to find out _ . 
 Options: (A) how they really feel when they are learning (B) whether mood affects their learning ability (C) what methods are easy for kids to learn (D) the relationship between sadness and happiness",B,"It is clearly mentioned in the article that to the check effect of mood on children is the main purpose of the experiment. So, B is the correct answer.","Article: Homework can put you in a badmood , and that might actually be a good thing. Researchers from the University of Plymouth in England doubted whether mood might affect the way kids learn. To find out the answer, they did two experiments with children. The first experiment tested 30 kids. Someshapes were hidden inside a different, larger picture. The kids had to find the small shapes while sitting in a room with either cheerful or sad music playing in the background. To test their mood, the scientists asked the kids to point to one of five faces, from happy to sad. Children who listened to cheerful music tended to point to the smiley faces while the others pointed to the unhappy ones. The researchers found that sad kids took at least a second less to find the small shapes. They also found an average of three or four more shapes. In the second experiment, 61 children watched one of two scenes from a film. One scene was happy, and the other was sad. Just like in the first experiment, kids who saw the sad scene acted better compared to the others. The researchers guessed that feeling down makes people more likely to focus on a problem or difficult situation. Not all scientists agree with them, however. Other studies argued that maybe, that cheerful music in the first experiment distracted kids from finding shapes. While scientists work on finding out the answers, it still might be wise to choose when to do your tasks according to your mood. After eating a delicious ice cream, for example, write an essay. 
 Question: Researchers did experiments on kids in order to find out _ . 
 Options: (A) how they really feel when they are learning (B) whether mood affects their learning ability (C) what methods are easy for kids to learn (D) the relationship between sadness and happiness",A,"It is clearly mentioned in the article that to the check effect of mood on children is the main purpose of the experiment, not to check how they really feel when they are learning."
Question Answering,"Passage: Martin Luther married Katharina von Bora, one of 12 nuns he had helped escape from the Nimbschen Cistercian convent in April 1523, when he arranged for them to be smuggled out in herring barrels. Suddenly, and while I was occupied with far different thoughts, he wrote to Wenceslaus Link, “the Lord has plunged me into marriage. At the time of their marriage, Katharina was 26 years old and Luther was 41 years old. Question: In a letter who did Luther credit for his union with Katharina?",the Lord,"The paragraph clearly states that, Luther has credited the Lord for his union with Katharina, hence the Lord is correct answer.","Passage: Oceans and lakes have much in common, but they are also quite different. Both are bodies of water, but oceans are very large bodies of salt water, while lakes are much smaller bodies of fresh water. Question: What are large bodies of water?",lakes,"The answer that is expected is Ocean according to the paragraph given but lakes is returned, hence this is a bad example."
Textual Entailment,"A teenager blows a whistle and wears white face paint, earmuffs, and a yellow hat while another teen watches. <sep> Nobody has face paint.",C,Either a teenager wears face paint or nobody has face paint.,Two men walking in summer attire. <sep> Two men are walking.,C,This is incorrect. Walking and are walking are the same thing. This is a entailment statement.
